path,category,contrast,homogeneity,energy,correlation,entropy,height_mean,height_std,hist_entropy,gradient_mean
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 01_height.png,Bark,3.963858,0.534251,0.099199,0.938121,1.381588,0.515274,0.089091,4.090446,0.011694
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 02_height.png,Bark,6.860779,0.444031,0.082759,0.907632,1.484107,0.491479,0.096027,4.185994,0.015516
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 03_height.png,Bark,6.662070,0.490089,0.066757,0.974927,2.850601,0.517885,0.182904,6.000000,0.014086
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 04_height.png,Bark,7.148795,0.471011,0.061545,0.978338,2.966882,0.443606,0.203988,6.000000,0.015200
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 05_height.png,Bark,5.288375,0.545295,0.094163,0.964612,2.001247,0.501889,0.136742,5.167141,0.012241
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 06_height.png,Bark,5.734006,0.505151,0.072201,0.969268,1.901461,0.499606,0.153045,5.405410,0.013169
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 08_height.png,Bark,3.728881,0.562099,0.093058,0.958041,1.635046,0.511789,0.105391,4.649397,0.010589
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 100_height.png,Bark,4.936202,0.496482,0.076792,0.964965,2.270765,0.497872,0.132804,5.875000,0.013330
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 10_height.png,Bark,5.480022,0.500905,0.091940,0.948524,2.704538,0.515269,0.115040,5.925705,0.013451
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 11_height.png,Bark,5.911359,0.495315,0.073981,0.963410,2.289428,0.482163,0.142881,5.554229,0.013723
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 12_height.png,Bark,4.703192,0.498311,0.078753,0.961525,1.811655,0.509933,0.123938,5.000000,0.012937
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 13_height.png,Bark,8.796382,0.458050,0.057083,0.978388,3.019414,0.470960,0.226756,5.968750,0.016191
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 14_height.png,Bark,7.965752,0.446369,0.062983,0.970001,2.398806,0.493678,0.183198,5.818599,0.016059
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 15_height.png,Bark,2.197126,0.613174,0.127720,0.959287,1.116608,0.505497,0.081709,4.090446,0.008622
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 16_height.png,Bark,3.835417,0.551997,0.111852,0.920693,1.312068,0.505534,0.077248,4.185994,0.011040
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 17_height.png,Bark,12.815282,0.436807,0.067286,0.952172,2.885226,0.476891,0.183185,5.692946,0.019033
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 18_height.png,Bark,4.599593,0.522115,0.077675,0.971573,2.023711,0.480521,0.142367,5.327820,0.012381
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 19_height.png,Bark,2.862135,0.592451,0.097207,0.972114,1.359393,0.496912,0.113339,4.558771,0.009421
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 20_height.png,Bark,7.739380,0.457280,0.059959,0.975268,2.560461,0.464174,0.198896,5.726410,0.015795
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 21_height.png,Bark,4.120598,0.540073,0.103310,0.928606,1.602381,0.508336,0.084512,4.374345,0.011605
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 22_height.png,Bark,7.117598,0.449880,0.067337,0.955328,2.274836,0.486724,0.141301,5.449699,0.016109
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 23_height.png,Bark,4.178057,0.549945,0.105528,0.935179,1.969221,0.516478,0.089485,5.167141,0.011207
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 24_height.png,Bark,5.999608,0.508509,0.073711,0.977775,2.341209,0.480964,0.184612,5.554229,0.013538
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 25_height.png,Bark,7.017361,0.461976,0.074858,0.954299,2.229192,0.497426,0.138544,5.327820,0.015269
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 26_height.png,Bark,4.639764,0.523321,0.072101,0.978150,2.314145,0.503528,0.163381,5.818599,0.012039
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 27_height.png,Bark,3.091860,0.565693,0.128191,0.894731,0.933082,0.499701,0.060009,3.091917,0.010293
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 28_height.png,Bark,4.484851,0.523891,0.075665,0.973452,2.177160,0.489537,0.145403,5.692946,0.011956
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 29_height.png,Bark,6.345700,0.453352,0.080198,0.929587,2.186732,0.490372,0.106070,5.265320,0.015845
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 30_height.png,Bark,2.852538,0.590234,0.114722,0.945755,1.176713,0.506632,0.080514,3.994032,0.009594
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 31_height.png,Bark,3.478820,0.566148,0.105788,0.943464,1.242557,0.518018,0.087278,3.798727,0.010664
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 32_height.png,Bark,1.828828,0.652100,0.159272,0.932143,1.142344,0.501435,0.057614,3.699895,0.007459
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 33_height.png,Bark,2.697292,0.588429,0.113893,0.949670,1.237005,0.505258,0.081425,4.090446,0.009379
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 34_height.png,Bark,1.651280,0.654186,0.155975,0.938136,0.757783,0.507236,0.057362,3.194923,0.007261
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 35_height.png,Bark,4.131311,0.520902,0.100413,0.926007,1.290712,0.503295,0.083212,3.994032,0.012130
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 36_height.png,Bark,5.674807,0.508149,0.086370,0.933183,1.524459,0.506258,0.102996,4.374345,0.013145
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 37_height.png,Bark,6.148475,0.483701,0.087225,0.921313,1.933210,0.519089,0.098752,4.676397,0.014480
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 38_height.png,Bark,0.884156,0.741187,0.228824,0.913138,0.505172,0.503831,0.035111,2.354228,0.005286
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 39_height.png,Bark,1.081231,0.711638,0.190394,0.937883,0.673256,0.500401,0.046101,2.957035,0.005636
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 40_height.png,Bark,0.790878,0.759506,0.237472,0.920743,0.381015,0.502993,0.034685,2.029940,0.004765
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 41_height.png,Bark,8.276773,0.432475,0.066605,0.944236,2.533173,0.485892,0.136217,5.692946,0.017278
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 42_height.png,Bark,10.993599,0.427227,0.059219,0.963617,2.989281,0.478312,0.195096,5.818599,0.018982
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 43_height.png,Bark,5.560235,0.492068,0.080674,0.951633,2.204489,0.490017,0.119838,5.296570,0.013967
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 44_height.png,Bark,3.580117,0.553270,0.117512,0.916497,1.366625,0.494753,0.072943,3.896782,0.011371
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 45_height.png,Bark,3.891865,0.544452,0.104619,0.927854,1.462940,0.508758,0.081650,4.280639,0.011163
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 46_height.png,Bark,4.046755,0.539147,0.101911,0.929110,1.449082,0.502749,0.084116,4.185994,0.011852
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 47_height.png,Bark,1.360761,0.674707,0.207075,0.875500,0.612241,0.509765,0.036383,2.567818,0.007345
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 48_height.png,Bark,2.991573,0.575704,0.110675,0.940966,1.044256,0.496991,0.079008,3.600311,0.009818
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 49_height.png,Bark,2.583657,0.595271,0.113785,0.954676,1.402724,0.501992,0.084118,4.374345,0.009192
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 50_height.png,Bark,3.557904,0.563054,0.110253,0.927242,1.363628,0.529738,0.077604,3.994032,0.010590
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 51_height.png,Bark,6.352099,0.466787,0.073957,0.956790,2.257515,0.501639,0.135953,5.405410,0.015125
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 52_height.png,Bark,6.880511,0.462689,0.075739,0.942103,2.359060,0.488351,0.121861,5.661696,0.015484
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 53_height.png,Bark,3.695360,0.552033,0.080935,0.978342,1.889136,0.485843,0.146206,5.405410,0.010824
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 54_height.png,Bark,10.889007,0.418744,0.053707,0.963546,3.157310,0.476748,0.193748,5.968750,0.018693
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 55_height.png,Bark,2.652793,0.604735,0.094738,0.978474,1.429352,0.479494,0.124140,4.827209,0.008994
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 56_height.png,Bark,7.195886,0.458099,0.073678,0.939442,2.121699,0.488910,0.122039,5.167141,0.015574
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 57_height.png,Bark,2.437683,0.591790,0.150968,0.869595,0.755908,0.501291,0.047740,2.673795,0.009094
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 58_height.png,Bark,3.800135,0.527440,0.108468,0.920027,1.070927,0.494233,0.076328,3.699895,0.012151
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 59_height.png,Bark,1.160254,0.703011,0.183549,0.941358,0.705803,0.509265,0.049119,2.988285,0.005959
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 60_height.png,Bark,9.870688,0.412019,0.061965,0.948773,2.825729,0.482037,0.155148,5.875000,0.018285
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 61_height.png,Bark,4.103909,0.541104,0.093141,0.951200,1.435506,0.529459,0.102218,4.374345,0.011469
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 62_height.png,Bark,4.829558,0.506183,0.082821,0.954206,1.650525,0.483900,0.114957,4.649397,0.012936
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 63_height.png,Bark,5.846307,0.480806,0.071382,0.968437,2.162782,0.490310,0.152826,5.692946,0.014145
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 64_height.png,Bark,2.594895,0.604598,0.111741,0.965267,1.371382,0.493906,0.096330,4.374345,0.009045
