heightmap_id,category,terrace_steps,steps_4,steps_6,steps_8,steps_10,steps_12,steps_16,gamma,edge_sigma,morph_strength,contrast,homogeneity,energy,correlation,entropy,height_mean,height_std,hist_entropy,gradient_mean
Bark__bark 01_height,Bark,4,1,0,0,0,0,0,0.500000,0.500000,0.500000,20.734778,0.854397,0.588988,0.903517,1.200964,0.701219,0.163138,3.163673,0.011380
Bark__bark 01_height,Bark,4,1,0,0,0,0,0,0.500000,3.000000,2.000000,1.908377,0.842711,0.264748,0.983082,0.836216,0.808763,0.118332,2.461292,0.004086
Bark__bark 01_height,Bark,4,1,0,0,0,0,0,0.500000,4.500000,2.000000,1.284615,0.837729,0.212998,0.984084,0.711679,0.777850,0.099666,2.673795,0.003640
Bark__bark 01_height,Bark,4,1,0,0,0,0,0,0.500000,0.500000,2.000000,8.240709,0.941176,0.614299,0.959745,0.433795,0.859241,0.159039,1.590737,0.004483
Bark__bark 01_height,Bark,4,1,0,0,0,0,0,1.000000,1.500000,0.500000,13.408981,0.704325,0.253636,0.959499,3.572531,0.511613,0.203625,6.000000,0.012875
Bark__bark 01_height,Bark,4,1,0,0,0,0,0,1.000000,4.500000,2.000000,1.688110,0.857774,0.346017,0.982284,1.598606,0.642665,0.109509,4.649397,0.003658
Bark__bark 01_height,Bark,4,1,0,0,0,0,0,1.500000,0.500000,1.500000,14.262482,0.897739,0.534356,0.956101,1.080059,0.536462,0.202209,2.536568,0.007784
Bark__bark 01_height,Bark,4,1,0,0,0,0,0,1.500000,1.500000,2.000000,5.541605,0.870548,0.444247,0.976618,2.356925,0.592747,0.173142,4.527521,0.005551
Bark__bark 01_height,Bark,4,1,0,0,0,0,0,1.500000,3.000000,1.000000,6.427173,0.704796,0.226843,0.978388,3.224305,0.436798,0.192764,6.000000,0.009463
Bark__bark 01_height,Bark,4,1,0,0,0,0,0,2.000000,1.500000,2.000000,6.427051,0.840680,0.308075,0.976826,2.663232,0.517866,0.186395,5.084323,0.006640
Bark__bark 01_height,Bark,4,1,0,0,0,0,0,2.000000,4.500000,0.500000,8.018055,0.577743,0.145198,0.977675,3.175224,0.259051,0.212487,6.000000,0.012876
Bark__bark 01_height,Bark,6,0,1,0,0,0,0,0.500000,0.500000,0.500000,10.728905,0.827401,0.434626,0.939565,1.161905,0.707283,0.150063,3.767477,0.009684
